;
;
Богатырша;Ольга Лопато
Переводчик;Алексей Нужный
Крепость;Федор Дмитриев
Война полов;Кирилл Кузин
Без границ	;Карен Оганесян, Резо Гигинеишвили, Роман Прыгунов
Душа шпиона;Владимир Бортко
14+	;Андрей Зайцев
Конец прекрасной эпохи;Станислав Говорухин
Воин;Алексей Андрианов
Орлеан;Андрей Прошкин
;
;
;
Парень с нашего кладбища ;Илья  Чижиков,  Андрей Чижиков
Бармен;Дина Штурманова
Однажды;Ренат Давлетьяров
Дабл трабл; Эдуард Оганесян
Одной левой;Армен Ананикян, Виталий Рейнгеверц
А зори здесь тихие…;Ренат Давлетьяров
Территория;Александр Мельник
МАМА ДАРАГАЯ!;Ярослав Чеважевский
Битва за Севастополь;Сергей Мокрицкий
Неуловимые;Артем Аксененко
;
;
;
Призрак;Александр Войтинский
Духless2;Роман Прыгунов
Батальонъ;Дмитрий Месхиев
Овечка Долли была злая и рано умерла;Алексей Пиманов
12 месяцев. Новая сказка;Денис Елеонский
Невидимки;Сергей Комаров
Левиафан;Андрей Звягинцев
Елки лохматые;Максим Свешников
Две женщины;Вера Глаголева
8 новых свиданий;Марюс Вайсберг
;
;
;
Три богатыря: Ход конем;Константин Феоктистов
Снежная королева 2: Перезаморозка;Алексей Цицилин
Мамы 3;Георгий Малков, Эмиль Никогосян
Елки 1914;Тимур Бекмамбетов, Ольга Харина, Юрий Быков, 
Вычислитель;Дмитрий Грачев
Василиса;Антон Сиверс
Любит не любит;Клим Шипенко
День дурака;Александр Баранов
Смешанные чувства;Георгий Малков
Выпускной;Всеволод Бродский
;
;
;
Солнечный удар;Никита Михалков
;Станислав Говорухин
;Андрей Силкин
;Серджо Бассо
;Ольга Беляева
;Андрей Першин
Испытание;Александр Котт
Веселые ребята;Алексей Бобров
Тайна четырех принцесс;Олег Штром
Поддубный;Глеб Орлов
;
;
;
Я не вернусь;Ильмар Рааг
Быстрее, чем кролики;Дмитрий Дьяченко
Иван Царевич и Серый Волк 2;Владимир Торопчин
Елки 3;Ольга Харина, Дмитрий Киселёв, Александр Котт
Страна хороших деточек;Ольга Каптур
Одноклассники.ru: НаCLICKай удачу;Павел Худяков
7 главных желаний;Вадим Соколовский
Тёмный мир: Равновесие;Олег Асадулин
Остров везения;Кирилл Козлов
Курьер из "рая";Михаил Хлебородов
;
;
;
Три мушкетера;Сергей Жигунов
Географ глобус пропил;Александр Велединский
Горько!;Жора Крыжовинков
Как поймать перо Жар-Птицы;Георгий Гитис, Вячеслав Плотников
Легенда № 17;Николай Лебедев
Джентльмены, удачи!;Александр Баранов, Дмитрий Киселёв
Три богатыря на дальних берегах;Константин Феоктистов
Метро;Антон Мегердичев
Джунгли;Александр Войтинский
1812: Уланская баллада;Олег Фесенко
;
;
;
Небесный суд;Алена Званцова
Матч;Андрей Малюков
Белый тигр;Карен Шахназаров
Шпион;Алексей Андрианов
Самоубийцы;Егор Баранов
Август. Восьмого;Джаник Файзиев
Камень;Вячеслав Каминский
Иван Царевич и Серый Волк;Владимир Торопчин
Смешарики. Начало;Денис Чернов
Ёлки 2;Дмитрий Киселёв, Александр Баранов, Александр Котт, Леван Габриадзе
;
;
;
Дом на обочине;Антон Сиверс
Высоцкий. Спасибо, что живой.;Петр Буслов
Бой с тенью 3D: Последний раунд;Алексей Сидоров
Дом;Олег Погодин
Реальная сказка;Андрей Мармонтов
Калачи;Нурбек Эген
Фауст;Александр Сокуров
2 дня;Авдотья Смирнова
Елена;Андрей Звягинцев
Охотник;Бакур Бакурадзе
;
;
;
Суперменеджер, или Мотыга судьбы;Богдан Дробязко
Утомленные солнцем 2: Цитадель;Никита Михалков
Свадьба по обмену;Дмитрий Грачев
Сибирь. Монамур;Вячеслав Росс
Самка;Григорий Константинопольский
Выкрутасы;Леван Габриадзе
На крючке;Наталья Углицких
Тихая застава;Сергей Маховиков
Елки;Тимур Бекмамбетов, Александр Войтинский,Игнас Йонинас, Ярослав Чеважевский
Зайцев, жги! История шоумена;Антон Барщевский
;
;
;
Кочегар;Алексей Балабанов
Темный мир;Антон Мегердичев
Про любофф;Ольга Субботина
Дочь якудзы;Сергей Бодров, Гульшад Омарова
Бресткая крепость;Александр Котт
;
